카테고리,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2020년05월_남_10~19세,"16,153",69,120,"1,436","2,516",551,54,27,87,21,21,83,148,103,153,209,"1,356",303,"2,973",333,382,96,59,108,906,"2,621","1,418"
2020년05월_남_20~29세,"20,131",109,247,"1,703","1,574",705,99,59,113,49,35,138,264,157,215,459,"2,065",436,"3,685",523,661,193,156,241,"1,180","3,326","1,739"
2020년05월_남_30~39세,"16,963",63,184,"1,105","3,212",624,92,62,113,50,20,82,166,90,189,225,"1,339",358,"2,661",419,433,134,130,159,"1,365","2,490","1,198"
2020년05월_남_40~49세,"21,596",157,320,"1,558","3,221",945,150,93,167,88,34,151,359,169,231,287,"1,719",473,"3,387",538,648,168,185,239,"1,482","3,260","1,567"
2020년05월_남_50~59세,"24,844",328,551,"1,724","1,700","1,192",301,183,334,182,94,307,563,300,311,388,"2,040",605,"4,204",647,882,235,269,305,"1,521","3,782","1,896"
2020년05월_남_60~69세,"16,327",279,435,575,588,951,321,222,330,177,105,375,578,295,371,342,"1,531",492,"2,530",638,737,244,249,267,"1,011","1,900",784
2020년05월_남_70~79세,"8,325",190,316,187,138,532,280,133,292,133,79,282,418,191,260,277,693,284,901,428,497,190,140,192,490,613,189
2020년05월_남_80~89세,"3,219",109,167,75,37,189,147,64,154,69,30,130,224,88,78,101,212,103,260,161,161,86,63,60,184,208,59
2020년05월_남_90~99세,303,15,9,4,1,20,18,10,12,5,4,9,23,7,11,6,18,10,29,11,6,10,7,12,15,25,6
2020년05월_남_100세 이상,8,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020년05월_여_총인구수,"140,636","1,393","2,253","9,309","15,509","6,121","1,497",970,"1,613",748,483,"1,682","2,790","1,392","1,959","2,387","12,218","3,213","22,583","3,901","4,510","1,503","1,216","1,557","9,150","20,615","10,064"
2020년05월_여_연령구간인구수,"140,636","1,393","2,253","9,309","15,509","6,121","1,497",970,"1,613",748,483,"1,682","2,790","1,392","1,959","2,387","12,218","3,213","22,583","3,901","4,510","1,503","1,216","1,557","9,150","20,615","10,064"
2020년05월_여_0~9세,"11,611",22,73,789,"2,843",420,30,18,31,5,10,38,75,24,79,77,836,176,"1,809",184,179,58,30,53,"1,020","1,801",931
2020년05월_여_10~19세,"14,708",66,104,"1,249","2,232",497,48,50,61,18,21,74,144,67,125,168,"1,322",291,"2,673",279,336,100,52,96,817,"2,448","1,370"
2020년05월_여_20~29세,"16,991",75,174,"1,444","1,476",617,73,71,87,37,25,103,165,104,166,378,"1,713",340,"3,049",405,522,159,140,158,"1,001","3,005","1,504"
2020년05월_여_30~39세,"16,227",57,100,"1,135","3,338",567,53,42,50,18,15,65,127,68,147,197,"1,249",298,"2,500",376,369,128,90,129,"1,339","2,512","1,258"
2020년05월_여_40~49세,"22,164",92,180,"1,961","3,260",832,70,49,67,36,25,94,210,128,206,243,"1,858",473,"3,860",444,513,156,113,204,"1,381","3,762","1,947"
2020년05월_여_50~59세,"24,339",235,385,"1,657","1,451","1,071",196,153,252,122,66,269,436,250,300,391,"2,342",568,"4,554",717,888,258,239,257,"1,497","3,861","1,924"
2020년05월_여_60~69세,"16,185",238,435,566,549,919,308,183,330,114,89,361,505,271,416,391,"1,607",557,"2,461",713,841,272,277,288,"1,021","1,791",682
2020년05월_여_70~79세,"10,354",299,389,293,219,649,348,201,362,200,100,348,525,254,300,333,760,309,"1,039",525,564,253,169,242,588,816,269
2020년05월_여_80~89세,"6,761",265,353,190,111,472,322,168,321,164,103,282,518,177,187,180,441,163,529,207,247,93,83,114,398,524,149
2020년05월_여_90~99세,"1,242",44,59,22,30,76,48,34,52,30,29,46,82,45,29,28,84,34,103,50,51,26,21,11,85,93,30
2020년05월_여_100세 이상,54,0,1,3,0,1,1,1,0,4,0,2,3,4,4,1,6,4,6,1,0,0,2,5,3,2,0
2020년06월_계_총인구수,"281,054","2,742","4,676","18,499","31,618","12,216","2,986","1,838","3,249","1,524",919,"3,285","5,586","2,832","3,832","4,728","24,540","6,456","45,039","7,819","9,085","2,906","2,506","3,181","18,451","40,682","19,859"
2020년06월_계_연령구간인구수,"281,054","2,742","4,676","18,499","31,618","12,216","2,986","1,838","3,249","1,524",919,"3,285","5,586","2,832","3,832","4,728","24,540","6,456","45,039","7,819","9,085","2,906","2,506","3,181","18,451","40,682","19,859"
2020년06월_계_0~9세,"23,830",57,135,"1,616","5,823",859,58,36,66,17,27,78,146,59,158,148,"1,791",369,"3,581",398,386,115,66,108,"2,166","3,667","1,900"
2020년06월_계_10~19세,"30,772",134,227,"2,665","4,779","1,035",102,71,147,38,42,154,285,171,272,367,"2,723",589,"5,604",616,718,200,113,201,"1,724","5,043","2,752"
2020년06월_계_20~29세,"37,201",184,425,"3,159","3,065","1,319",168,131,201,82,58,241,425,261,375,844,"3,844",778,"6,737",920,"1,166",348,297,392,"2,176","6,337","3,268"
2020년06월_계_30~39세,"33,220",122,276,"2,243","6,585","1,185",141,103,162,67,37,152,287,157,331,413,"2,674",646,"5,167",797,795,260,212,287,"2,700","4,987","2,434"
2020년06월_계_40~49세,"43,771",239,501,"3,520","6,520","1,754",222,140,234,121,59,246,560,296,439,522,"3,627",942,"7,269",975,"1,135",322,302,436,"2,864","7,008","3,518"
2020년06월_계_50~59세,"49,110",566,929,"3,383","3,161","2,250",494,333,574,303,157,576,993,553,595,775,"4,461","1,171","8,716","1,355","1,775",486,495,563,"3,015","7,616","3,815"
2020년06월_계_60~69세,"32,821",522,880,"1,142","1,140","1,872",632,412,676,288,192,738,"1,095",568,791,735,"3,192","1,059","5,078","1,371","1,583",520,534,562,"2,032","3,726","1,481"
2020년06월_계_70~79세,"18,753",486,713,478,366,"1,184",633,336,656,332,179,635,944,444,559,611,"1,467",590,"1,957",958,"1,056",441,312,430,"1,090","1,444",452
