카테고리,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020년07월_계_총인구수,"374,036","24,885","39,261","21,990","21,829","14,188","12,206","23,302","24,998","24,832","18,446","21,103","19,067","15,736","19,590","40,840","31,763"
2020년07월_계_연령구간인구수,"374,036","24,885","39,261","21,990","21,829","14,188","12,206","23,302","24,998","24,832","18,446","21,103","19,067","15,736","19,590","40,840","31,763"
2020년07월_계_0~9세,"25,719","2,685","2,354","1,536","2,314",665,938,"1,724","1,945",874,"1,214","1,151","1,236",668,"1,040","2,666","2,709"
2020년07월_계_10~19세,"28,993","1,598","2,482","1,667","2,005",932,"1,138","1,955","1,781","1,276","1,000","1,348","1,645",828,"1,499","3,579","4,260"
2020년07월_계_20~29세,"61,779","3,063","6,681","3,072","2,288","3,276","1,803","3,537","4,688","5,899","3,585","3,539","2,843","3,193","3,196","6,802","4,314"
2020년07월_계_30~39세,"65,173","5,141","6,624","3,661","3,758","2,317","1,940","3,834","4,230","5,234","3,793","4,018","3,001","3,182","3,479","6,877","4,084"
2020년07월_계_40~49세,"61,826","4,014","5,822","3,287","4,411","2,102","2,184","3,960","4,111","3,753","2,680","3,296","3,321","2,385","3,422","6,746","6,332"
2020년07월_계_50~59세,"54,299","3,746","6,673","3,536","2,945","2,018","1,775","3,542","3,684","3,078","2,399","2,995","2,799","2,039","2,824","5,780","4,466"
2020년07월_계_60~69세,"38,913","2,611","4,440","2,634","2,107","1,429","1,155","2,433","2,383","2,263","1,912","2,425","2,155","1,701","2,166","4,160","2,939"
2020년07월_계_70~79세,"24,544","1,226","2,733","1,584","1,284",915,836,"1,542","1,404","1,563","1,238","1,621","1,455","1,123","1,361","2,909","1,750"
2020년07월_계_80~89세,"10,847",646,"1,246",843,626,426,379,650,662,737,526,620,526,516,528,"1,129",787
2020년07월_계_90~99세,"1,616",103,166,143,81,84,46,107,95,128,82,84,70,83,61,178,105
2020년07월_계_100세 이상,327,52,40,27,10,24,12,18,15,27,17,6,16,18,14,14,17
2020년07월_남_총인구수,"176,437","11,667","18,580","10,514","10,334","6,887","5,898","11,331","11,899","11,365","8,571","9,915","9,026","7,379","9,223","18,674","15,174"
