카테고리,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2020년05월_여_0~9세,"16,995",113,"1,251",88,"1,176",888,135,309,157,155,663,104,"1,037",167,"1,453","2,283",731,817,"1,426",516,864,"1,202",344,"1,116"
2020년05월_여_10~19세,"21,312",159,"1,030",98,"1,104","1,183",243,469,249,222,578,186,"1,436",226,"1,788","1,554",856,"1,236","2,506",833,"1,203","2,233",329,"1,591"
2020년05월_여_20~29세,"27,681",262,"1,378",208,"1,062","1,127",452,741,"1,079",527,"1,107",855,"1,776",325,"1,563","1,900","1,736","1,780","2,485","1,092","2,020","1,957",642,"1,607"
2020년05월_여_30~39세,"26,174",242,"1,892",196,"1,586","1,276",316,558,450,418,"1,031",390,"1,633",380,"1,994","3,320","1,234","1,375","1,840",759,"1,482","1,594",712,"1,496"
2020년05월_여_40~49세,"37,328",275,"2,015",208,"1,916","1,891",533,831,482,485,"1,297",374,"2,392",448,"3,073","3,123","1,645","2,095","3,877","1,386","2,164","3,540",748,"2,530"
2020년05월_여_50~59세,"38,955",400,"1,713",454,"1,402","1,767",965,"1,221",667,800,"1,515",645,"2,652",671,"2,346","3,129","2,225","2,491","3,524","1,816","2,884","2,538","1,174","1,956"
2020년05월_여_60~69세,"26,436",460,"1,348",403,"1,003","1,234","1,055",876,641,839,"1,454",501,"1,694",665,"1,768","2,030","1,454","1,677","1,527","1,241","1,612",920,"1,120",914
2020년05월_여_70~79세,"15,909",304,942,233,581,813,786,497,441,493,"1,034",280,848,388,983,"1,059",827,911,941,623,906,721,655,643
2020년05월_여_80~89세,"7,681",154,493,101,259,411,377,238,208,224,504,124,437,188,382,457,441,374,493,381,512,374,215,334
2020년05월_여_90~99세,"1,043",26,80,21,34,47,35,31,23,33,78,12,81,22,53,61,64,59,73,42,63,31,29,45
2020년05월_여_100세 이상,71,3,9,1,2,4,3,0,4,0,11,0,7,1,1,3,4,1,1,3,5,0,6,2
2020년06월_계_총인구수,"438,608","5,107","23,407","4,292","19,607","20,625","9,669","11,377","9,032","8,702","18,741","7,549","27,709","6,950","33,131","37,621","22,453","25,106","36,863","17,376","27,286","29,435","12,353","24,217"
2020년06월_계_연령구간인구수,"438,608","5,107","23,407","4,292","19,607","20,625","9,669","11,377","9,032","8,702","18,741","7,549","27,709","6,950","33,131","37,621","22,453","25,106","36,863","17,376","27,286","29,435","12,353","24,217"
