년도,월,나이,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동,충청남도 천안시 서북구 불당1동,충청남도 천안시 서북구 불당2동
2020,8,80,"5,099","2,759",305,110,122,124,94,98,148,96,122,63,132,193,135,189,184,349,295,"2,340",464,211,229,194,170,121,114,186,126,107,125,195,98,,
2020,8,90,489,261,30,12,18,10,6,5,18,8,13,11,13,14,12,16,23,34,18,228,38,20,17,30,16,14,16,16,11,15,16,12,7,,
2020,8,100,46,23,0,0,0,0,1,0,1,1,4,0,2,2,3,4,1,3,1,23,9,0,0,2,3,0,0,3,1,1,1,3,0,,
2020,9,총,"336,024","131,081","12,403","2,245","2,189","2,237","1,711","1,262","3,247","1,144","2,920","1,910","4,591","4,885","9,285","12,232","23,005","27,982","17,833","204,943","12,813","11,499","10,515","4,626","8,517","13,662","6,987","18,731","9,265","20,465","35,080","23,019","29,764",,
2020,9,0,"32,155","10,727",910,80,57,68,45,27,121,16,90,48,238,150,584,"1,144","2,555","3,157","1,437","21,428",658,950,715,151,412,500,489,"1,780",730,"2,948","5,396","1,936","4,763",,
2020,9,10,"35,637","13,695","1,471",127,120,132,92,51,182,52,159,83,408,389,770,"1,684","3,076","3,577","1,322","21,942","1,240","1,233","1,005",313,511,702,638,"2,650","1,297","2,922","4,781","2,102","2,548",,
2020,9,20,"50,561","18,804","1,539",244,204,227,136,119,519,80,294,258,623,662,"1,488","1,641","3,385","3,772","3,613","31,757","1,622","1,424","1,420",552,"1,330","3,265","1,273","3,148","1,422","2,706","4,395","5,007","4,193",,
2020,9,30,"56,513","17,637","1,334",201,157,194,125,114,343,55,298,237,492,565,"1,386","1,281","3,647","4,327","2,881","38,876","1,238","1,599","1,583",465,"1,306","3,385","1,023","2,578","1,220","3,417","7,423","4,961","8,678",,
2020,9,40,"57,816","22,235","2,375",273,254,277,213,164,436,126,392,278,663,714,"1,550","2,284","4,583","5,072","2,581","35,581","2,134","2,254","2,012",663,"1,337","2,135",978,"3,180","1,508","3,928","6,833","3,655","4,964",,
2020,9,50,"52,890","22,511","2,358",445,479,486,372,271,618,261,637,380,924,988,"1,694","2,130","3,445","4,199","2,824","30,379","2,350","2,022","1,886","1,000","1,715","1,894","1,203","3,182","1,679","2,813","4,409","3,241","2,985",,
2020,9,60,"31,315","15,356","1,413",497,521,469,396,265,584,272,587,381,712,758,"1,185","1,283","1,568","2,488","1,977","15,959","1,926","1,246","1,152",814,"1,171","1,220",919,"1,514",937,"1,201","1,301","1,362","1,196",,
2020,9,70,"13,457","7,050",664,255,260,251,231,148,276,178,322,171,386,448,476,574,538,994,878,"6,407","1,122",537,496,443,541,427,335,499,335,405,397,540,330,,
2020,9,80,"5,130","2,774",308,111,120,122,94,98,150,96,124,61,131,195,136,189,182,357,300,"2,356",471,214,229,192,174,121,113,180,125,109,128,200,100,,
2020,9,90,504,269,31,12,17,11,6,5,17,7,13,13,12,14,13,18,25,36,19,235,43,20,17,31,17,13,16,17,11,15,16,12,7,,
2020,9,100,46,23,0,0,0,0,1,0,1,1,4,0,2,2,3,4,1,3,1,23,9,0,0,2,3,0,0,3,1,1,1,3,0,,
2020,10,총,"336,138","130,986","12,383","2,252","2,193","2,237","1,706","1,270","3,247","1,140","2,908","1,902","4,577","4,886","9,281","12,198","23,011","27,973","17,822","205,152","12,743","11,492","10,596","4,608","8,492","13,643","6,971","18,710","9,258","20,507","35,119","23,215","29,798",,
2020,10,0,"31,992","10,648",896,83,56,68,44,26,116,15,85,47,233,151,588,"1,139","2,536","3,139","1,426","21,344",644,937,735,146,403,499,484,"1,773",722,"2,936","5,378","1,943","4,744",,
2020,10,10,"35,608","13,692","1,447",125,120,131,90,50,182,51,154,87,399,387,769,"1,681","3,102","3,572","1,345","21,916","1,220","1,220","1,001",310,510,698,623,"2,634","1,305","2,937","4,794","2,102","2,562",,
2020,10,20,"50,622","18,770","1,555",245,207,225,140,122,526,80,295,255,620,661,"1,486","1,624","3,377","3,764","3,588","31,852","1,606","1,431","1,437",545,"1,320","3,255","1,278","3,143","1,417","2,720","4,435","5,052","4,213",,
2020,10,30,"56,296","17,565","1,319",203,152,194,121,120,341,53,303,234,489,554,"1,390","1,283","3,631","4,298","2,880","38,731","1,236","1,579","1,583",463,"1,307","3,369","1,027","2,568","1,205","3,380","7,349","5,031","8,634",,
