년도,월,나이,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2021,8,10,"4,952",313,556,89,124,76,88,76,174,68,228,62,89,59,"2,025",925
2021,8,20,"6,148",394,708,165,156,115,115,130,217,64,250,121,253,76,"2,401",983
2021,8,30,"5,489",269,679,140,143,123,109,120,180,70,282,102,170,64,"2,298",740
2021,8,40,"7,906",495,908,227,243,163,195,204,291,124,337,159,272,107,"2,942","1,239"
2021,8,50,"10,166",728,"1,104",341,397,275,370,359,647,252,561,322,418,202,"2,759","1,431"
2021,8,60,"10,505",842,"1,226",510,531,333,455,458,839,324,646,472,457,273,"2,029","1,110"
2021,8,70,"5,802",503,701,303,325,237,251,263,454,208,399,273,256,154,932,543
2021,8,80,"2,773",241,332,208,148,106,129,130,216,90,228,150,121,75,366,233
2021,8,90,298,26,37,18,11,13,20,11,26,14,25,17,14,15,36,15
2021,8,100,8,3,0,0,0,0,0,0,0,0,0,0,1,1,2,1
2021,9,총,"57,426","3,950","6,688","2,050","2,120","1,491","1,758","1,796","3,142","1,239","3,144","1,706","2,113","1,044","17,418","7,767"
2021,9,0,"3,507",150,443,58,47,51,34,43,96,28,201,35,62,30,"1,635",594
2021,9,10,"4,933",316,553,87,122,76,86,76,173,66,231,62,92,59,"2,017",917
2021,9,20,"6,064",384,695,159,152,118,119,129,218,61,240,120,253,72,"2,389",955
2021,9,30,"5,478",268,677,142,146,125,105,118,180,71,284,103,171,61,"2,293",734
2021,9,40,"7,875",491,911,225,243,157,198,203,290,122,330,155,271,108,"2,938","1,233"
2021,9,50,"10,150",728,"1,107",342,395,276,362,361,642,250,561,321,415,196,"2,768","1,426"
2021,9,60,"10,516",839,"1,230",509,530,329,449,459,843,327,647,471,460,274,"2,034","1,115"
2021,9,70,"5,816",506,706,303,327,237,254,263,457,207,394,274,254,154,935,545
2021,9,80,"2,778",239,328,207,146,109,131,133,216,93,229,148,121,74,369,235
2021,9,90,301,26,38,18,12,13,20,11,27,14,27,17,13,15,37,13
2021,9,100,8,3,0,0,0,0,0,0,0,0,0,0,1,1,3,0
2021,10,총,"57,304","3,940","6,673","2,039","2,104","1,500","1,758","1,795","3,132","1,230","3,138","1,706","2,105","1,043","17,396","7,745"
2021,10,0,"3,486",150,446,53,47,51,34,42,96,27,201,37,60,31,"1,618",593
2021,10,10,"4,911",313,545,87,119,78,86,76,176,65,230,64,94,60,"2,008",910
2021,10,20,"6,025",375,691,160,149,120,119,127,214,60,240,119,248,70,"2,391",942
2021,10,30,"5,451",271,672,138,144,125,102,117,178,74,285,102,169,63,"2,274",737
2021,10,40,"7,802",492,902,220,241,160,197,202,286,120,320,154,269,107,"2,911","1,221"
2021,10,50,"10,184",725,"1,105",344,394,277,364,363,639,249,563,321,412,193,"2,799","1,436"
2021,10,60,"10,524",838,"1,236",506,527,325,450,461,847,325,648,470,462,277,"2,042","1,110"
2021,10,70,"5,815",505,704,307,327,239,256,260,455,202,394,274,255,151,942,544
2021,10,80,"2,792",242,333,206,143,113,129,135,214,94,231,148,121,75,371,237
2021,10,90,305,26,39,18,13,12,21,11,27,14,26,17,14,15,37,15
