년도,월,나이,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2021,6,10,"5,373",529,376,77,412,800,545,443,153,110,133,208,659,105,223,246,195,159
2021,6,20,"11,892",795,668,151,604,"1,207",497,658,266,459,547,859,"2,240",281,554,447,404,"1,255"
2021,6,30,"9,852",861,816,172,625,"1,195",495,887,298,398,307,630,958,227,363,475,399,746
2021,6,40,"10,983","1,164",806,184,859,"1,485",759,956,382,366,234,469,"1,126",282,487,454,426,544
2021,6,50,"12,360","1,032",827,192,913,"1,756",671,811,378,402,392,551,"1,197",456,847,643,579,713
2021,6,60,"10,137",762,635,219,689,"1,401",549,638,315,501,321,495,848,448,691,519,476,630
2021,6,70,"6,567",558,425,137,421,729,340,438,239,347,270,320,703,261,443,282,297,357
2021,6,80,"3,572",307,259,95,221,466,181,198,115,202,118,201,402,151,189,156,141,170
2021,6,90,648,48,49,17,54,119,31,31,27,43,23,25,67,22,25,19,23,25
2021,6,100,36,6,3,5,3,5,1,1,1,3,0,1,3,0,3,0,0,1
2021,7,총,"74,882","6,454","5,155","1,303","5,054","9,707","4,419","5,454","2,249","2,916","2,388","3,849","8,508","2,300","3,907","3,414","3,061","4,744"
2021,7,0,"3,587",382,279,55,263,558,367,410,88,91,53,113,326,69,94,172,133,134
2021,7,10,"5,343",535,372,75,410,795,545,433,153,107,128,204,659,105,224,247,193,158
2021,7,20,"11,860",794,677,154,605,"1,204",481,655,270,464,545,856,"2,219",280,553,441,399,"1,263"
2021,7,30,"9,845",864,824,171,619,"1,193",498,891,297,388,312,625,955,226,364,475,395,748
2021,7,40,"10,948","1,164",803,181,861,"1,479",754,954,370,371,232,459,"1,118",286,487,456,426,547
2021,7,50,"12,314","1,037",827,191,907,"1,753",666,800,377,397,385,549,"1,203",450,839,651,574,708
2021,7,60,"10,164",759,635,224,690,"1,403",553,646,316,497,325,490,855,451,690,521,481,628
2021,7,70,"6,562",561,424,136,416,731,338,437,235,351,266,326,703,260,439,282,297,360
2021,7,80,"3,571",304,259,94,226,464,186,197,115,204,119,202,399,153,190,150,139,170
2021,7,90,651,48,52,17,54,122,29,29,27,44,23,24,68,20,24,19,24,27
2021,7,100,37,6,3,5,3,5,2,2,1,2,0,1,3,0,3,0,0,1
2021,8,총,"74,836","6,444","5,155","1,304","5,040","9,685","4,436","5,437","2,230","2,929","2,386","3,855","8,512","2,288","3,896","3,406","3,045","4,788"
2021,8,0,"3,538",373,275,56,256,550,366,409,87,92,51,113,325,69,92,167,124,133
2021,8,10,"5,331",536,373,75,405,793,544,427,155,105,125,203,670,100,223,246,190,161
2021,8,20,"11,894",798,667,158,597,"1,208",490,660,263,464,554,862,"2,209",278,542,439,396,"1,309"
2021,8,30,"9,801",851,823,175,616,"1,178",498,886,287,390,308,621,951,230,374,473,392,748
2021,8,40,"10,903","1,161",815,178,855,"1,466",752,943,368,375,236,457,"1,116",284,478,455,419,545
