년도,월,나이,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2021,11,100,2,1,0,0,1,0,0,0,0,0,0,0,0
2021,12,총,"88,989","7,698","3,662","6,224","8,068","13,388","10,162","6,636","8,347","7,295","3,516","6,186","7,807"
2021,12,0,"5,317",302,134,291,433,931,452,329,"1,009",366,207,407,456
2021,12,10,"8,241",533,261,495,841,"1,829",832,537,760,603,283,506,761
2021,12,20,"13,301","1,293",459,765,"1,157","2,151","1,655",947,"1,030","1,208",556,893,"1,187"
2021,12,30,"10,940",870,409,656,880,"1,317","1,259",930,"1,409",994,609,824,783
2021,12,40,"13,400","1,060",583,872,"1,187","2,099","1,603",928,"1,445","1,125",649,838,"1,011"
2021,12,50,"16,918","1,419",713,"1,222","1,551","2,826","1,938","1,242","1,272","1,423",626,"1,183","1,503"
2021,12,60,"13,008","1,353",686,"1,133","1,221","1,478","1,509","1,015",957,933,389,969,"1,365"
2021,12,70,"5,671",656,318,557,571,506,676,512,325,444,149,415,542
2021,12,80,"2,033",196,91,211,211,235,227,186,128,182,46,137,183
2021,12,90,158,15,8,22,15,16,11,10,12,17,2,14,16
2021,12,100,2,1,0,0,1,0,0,0,0,0,0,0,0
