년도,월,나이,영주시,풍기읍,이산면,평은면,문수면,장수면,안정면,봉현면,순흥면,단산면,부석면,상망동,하망동,영주1동,영주2동,휴천1동,휴천2동,휴천3동,가흥1동,가흥2동
2021,1,30,"4,490",385,68,27,63,74,102,68,55,52,81,303,253,157,127,262,392,339,"1,284",398
2021,1,40,"7,200",672,108,66,108,108,166,163,75,95,136,618,432,254,207,554,539,511,"1,765",623
2021,1,50,"9,115",929,268,147,177,197,261,268,193,185,307,699,589,371,316,620,736,800,"1,395",657
2021,1,60,"8,841","1,124",290,177,253,273,373,360,287,254,417,548,472,389,320,379,674,654,"1,022",575
2021,1,70,"5,358",645,175,137,141,178,254,232,162,148,282,341,284,246,235,260,439,369,527,303
2021,1,80,"2,397",281,103,69,84,93,130,90,83,84,137,151,132,119,90,95,180,134,220,122
2021,1,90,228,29,11,12,10,11,11,12,6,9,13,6,11,13,7,13,14,16,17,7
2021,1,100,11,3,0,0,0,0,0,2,1,1,1,0,1,0,0,0,1,0,1,0
2021,2,총,"51,011","5,240","1,219",731,"1,001","1,116","1,536","1,392","1,011",950,"1,536","3,865","3,009","1,954","1,711","3,294","4,066","3,981","9,555","3,844"
2021,2,0,"3,110",238,28,17,27,30,44,31,19,13,29,246,177,94,101,245,202,222,"1,071",276
2021,2,10,"4,605",359,49,26,48,52,69,67,41,35,60,494,305,138,141,450,350,381,"1,116",424
2021,2,20,"5,623",575,119,59,87,101,120,100,89,75,76,455,348,183,160,425,532,557,"1,112",450
2021,2,30,"4,492",385,67,27,66,75,104,69,53,51,79,302,254,152,130,257,389,344,"1,284",404
2021,2,40,"7,157",658,105,65,104,107,172,157,76,96,135,613,425,249,207,548,541,505,"1,783",611
2021,2,50,"9,106",927,271,142,181,198,257,269,190,183,304,699,593,370,314,626,732,794,"1,396",660
2021,2,60,"8,898","1,137",291,178,252,271,376,361,289,253,421,554,477,387,324,376,685,657,"1,025",584
2021,2,70,"5,349",642,173,138,143,174,253,232,159,149,280,343,286,249,236,258,438,369,524,303
2021,2,80,"2,430",286,105,68,83,96,130,92,88,85,138,153,131,119,91,96,182,136,227,124
2021,2,90,230,30,11,11,10,12,11,12,6,9,13,6,12,13,7,13,14,16,16,8
2021,2,100,11,3,0,0,0,0,0,2,1,1,1,0,1,0,0,0,1,0,1,0
2021,3,총,"50,945","5,254","1,221",731,997,"1,103","1,529","1,383","1,016",938,"1,536","3,865","2,995","1,960","1,701","3,293","4,054","3,959","9,565","3,845"
2021,3,0,"3,094",236,25,16,27,29,40,31,20,13,30,246,176,90,100,241,202,224,"1,068",280
2021,3,10,"4,579",355,51,25,47,51,73,69,42,32,61,493,307,137,136,454,338,371,"1,118",419
2021,3,20,"5,626",583,118,60,86,101,118,95,87,75,77,457,342,185,160,428,535,553,"1,115",451
2021,3,30,"4,475",389,63,26,66,70,101,70,52,49,83,297,251,152,124,257,390,342,"1,285",408
