년도,월,나이,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2021,10,60,"9,519","3,217",227,366,419,296,289,229,161,"2,281",902,938,194
2021,10,70,"3,816","1,398",122,208,223,222,237,111,129,580,275,219,92
2021,10,80,"1,524",514,77,114,122,127,114,78,71,177,61,30,39
2021,10,90,136,53,12,14,7,11,9,4,7,9,4,4,2
2021,10,100,1,0,1,0,0,0,0,0,0,0,0,0,0
2021,11,총,"78,624","24,777","1,114","1,501","2,554","1,392","1,367",885,"1,660","29,856","6,215","6,358",945
2021,11,0,"6,442","2,097",45,36,132,24,32,19,199,"3,005",428,402,23
2021,11,10,"8,140","2,651",77,64,134,80,40,43,84,"3,696",556,657,58
2021,11,20,"11,295","3,282",109,145,353,112,112,80,179,"4,583",864,"1,350",126
2021,11,30,"9,700","2,917",80,75,283,85,84,44,367,"4,296",671,714,84
2021,11,40,"12,003","4,087",109,126,265,118,157,93,200,"5,179",965,588,116
2021,11,50,"15,973","4,540",254,352,618,318,289,182,247,"6,030","1,484","1,447",212
2021,11,60,"9,582","3,240",228,368,420,291,291,230,175,"2,295",907,946,191
2021,11,70,"3,828","1,397",121,207,223,227,241,112,133,583,273,218,93
2021,11,80,"1,522",513,77,114,118,127,111,78,69,180,63,32,40
2021,11,90,138,53,13,14,8,10,10,4,7,9,4,4,2
2021,11,100,1,0,1,0,0,0,0,0,0,0,0,0,0
2021,12,총,"78,626","24,763","1,115","1,499","2,565","1,382","1,365",881,"1,998","29,637","6,197","6,286",938
2021,12,0,"6,437","2,081",45,35,137,24,33,19,268,"2,961",418,393,23
2021,12,10,"8,125","2,660",77,64,137,76,41,42,120,"3,658",553,642,55
2021,12,20,"11,207","3,241",107,147,354,111,111,78,219,"4,539",857,"1,322",121
2021,12,30,"9,717","2,911",84,72,285,84,82,43,447,"4,240",672,710,87
2021,12,40,"11,993","4,075",106,124,259,116,155,92,262,"5,150",951,589,114
2021,12,50,"15,977","4,555",255,353,622,314,290,181,285,"6,001","1,486","1,422",213
2021,12,60,"9,646","3,267",226,368,420,292,290,230,185,"2,308",917,951,192
2021,12,70,"3,852","1,403",125,205,226,224,242,115,134,591,276,222,89
2021,12,80,"1,532",515,77,115,118,131,111,77,71,180,63,32,42
2021,12,90,140,55,13,16,7,10,10,4,7,9,4,3,2
2021,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0
