년도,월,나이,문경시,문경읍,문경읍갈평출장소,가은읍,가은읍북부출장소,영순면,산양면,호계면,산북면,동로면,마성면,농암면,점촌1동,점촌2동,점촌3동,점촌4동,점촌5동
2021,9,10,"5,462",351,60,146,41,266,126,142,98,80,119,89,389,577,843,148,"1,987"
2021,9,20,"6,087",359,66,160,33,141,179,331,145,87,213,125,527,590,835,200,"2,096"
2021,9,30,"5,490",353,48,152,45,83,159,100,122,92,204,131,544,637,765,241,"1,814"
2021,9,40,"8,565",594,93,254,70,175,256,168,215,172,281,184,708,865,"1,309",312,"2,909"
2021,9,50,"11,834",994,225,511,187,329,475,380,467,343,625,505,985,"1,094","1,509",513,"2,692"
2021,9,60,"13,993","1,338",276,761,225,592,749,552,669,540,790,677,"1,168","1,428","1,603",697,"1,928"
2021,9,70,"9,162",950,172,565,140,385,534,354,511,314,685,462,746,952,945,520,927
2021,9,80,"5,739",569,119,464,91,354,419,286,413,223,494,334,363,448,469,327,366
2021,9,90,855,84,18,77,13,65,83,41,61,35,62,67,35,51,64,36,63
2021,9,100,40,12,0,2,1,0,1,0,5,0,5,5,1,2,3,1,2
2021,10,총,"71,223","5,810","1,112","3,212",870,"2,445","3,071","2,415","2,756","1,965","3,567","2,645","5,787","7,100","9,016","3,139","16,313"
2021,10,0,"3,858",201,33,108,12,54,94,43,53,82,84,72,344,430,624,118,"1,506"
2021,10,10,"5,449",355,59,148,42,262,130,141,95,82,122,88,381,579,844,147,"1,974"
2021,10,20,"6,137",356,66,169,33,140,174,344,145,88,212,121,523,596,854,208,"2,108"
2021,10,30,"5,507",350,49,156,50,84,165,103,121,88,203,133,537,642,776,240,"1,810"
2021,10,40,"8,567",603,90,250,70,177,257,170,212,173,278,181,712,865,"1,314",320,"2,895"
2021,10,50,"11,862",989,229,510,190,329,470,378,464,342,629,501,976,"1,106","1,512",517,"2,720"
2021,10,60,"14,016","1,336",278,766,229,590,744,554,680,536,790,677,"1,163","1,425","1,611",700,"1,937"
2021,10,70,"9,172",950,172,560,138,389,535,357,508,315,686,462,751,953,945,520,931
2021,10,80,"5,762",575,120,465,92,354,420,285,414,224,493,336,363,449,472,332,368
2021,10,90,852,83,16,77,13,66,81,40,59,35,65,69,36,53,61,36,62
2021,10,100,41,12,0,3,1,0,1,0,5,0,5,5,1,2,3,1,2
