년도,월,나이,마포구,아현동,공덕동,도화동,용강동,대흥동,염리동,신수동,서강동,서교동,합정동,망원제1동,망원제2동,연남동,성산제1동,성산제2동,상암동
2021,4,40,"60,530","4,297","5,388","3,150","4,388","2,057","2,635","3,840","3,964","3,689","2,606","3,203","3,220","2,323","3,317","6,435","6,018"
2021,4,50,"54,271","3,809","6,300","3,452","2,975","2,042","2,096","3,569","3,642","3,068","2,344","2,994","2,819","1,985","2,845","5,823","4,508"
2021,4,60,"39,995","2,776","4,510","2,680","2,206","1,495","1,356","2,473","2,488","2,277","1,940","2,422","2,172","1,708","2,201","4,294","2,997"
2021,4,70,"23,755","1,183","2,520","1,524","1,284",868,832,"1,496","1,380","1,497","1,181","1,572","1,459","1,063","1,334","2,864","1,698"
2021,4,80,"11,111",654,"1,260",839,623,461,430,672,672,728,535,648,582,492,536,"1,195",784
2021,4,90,"1,564",102,150,129,91,69,51,100,89,130,82,80,61,79,55,189,107
2021,4,100,105,11,13,1,3,11,13,5,2,9,3,4,6,5,3,6,10
2021,5,총,"369,970","25,299","37,342","21,371","21,705","14,360","15,412","22,708","24,886","25,014","17,639","20,522","18,746","15,279","19,097","39,795","30,795"
2021,5,0,"24,400","2,773","2,241","1,461","2,191",653,"1,379","1,685","1,790",806,"1,000","1,006","1,133",589,919,"2,389","2,385"
2021,5,10,"28,118","1,669","2,250","1,589","2,041",854,"1,414","1,862","1,736","1,197",927,"1,312","1,534",783,"1,432","3,403","4,115"
2021,5,20,"61,690","3,093","6,236","2,915","2,221","3,453","2,253","3,375","4,981","6,270","3,360","3,410","2,839","3,236","3,148","6,608","4,292"
