년도,월,나이,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2021,6,60,"25,448","6,593","3,204","1,971","1,021","1,489",215,293,"1,650","1,573",,"1,085","2,647","2,434","1,273"
2021,6,70,"10,842","2,877","1,296",812,430,804,109,147,700,648,,413,"1,024",985,597
2021,6,80,"3,363",854,431,312,166,248,60,74,219,176,,121,295,242,165
2021,6,90,271,77,33,24,14,27,7,6,10,17,,6,23,17,10
2021,6,100,12,5,1,1,1,2,0,0,1,0,,0,0,1,0
2021,7,총,"196,660","57,209","24,392","12,378","5,245","7,958",773,"1,359","12,854","11,160",,"9,203","19,988","17,246","16,895"
2021,7,0,"17,395","5,668","1,904",700,230,532,18,73,"1,009",781,,998,"1,514","1,342","2,626"
2021,7,10,"17,489","4,593","2,579",974,329,679,31,102,"1,130",983,,782,"1,829","1,391","2,087"
2021,7,20,"23,980","7,004","2,998","1,579",595,669,57,93,"1,817","1,486",,"1,234","2,659","2,277","1,512"
2021,7,30,"29,176","10,037","3,210","1,543",582,767,53,110,"1,846","1,554",,"1,425","2,799","2,451","2,799"
2021,7,40,"35,627","10,896","4,337","1,927",818,"1,373",77,196,"2,141","1,937",,"1,648","3,493","3,068","3,716"
2021,7,50,"32,821","8,552","4,361","2,530","1,043","1,346",148,264,"2,312","1,987",,"1,483","3,668","3,029","2,098"
2021,7,60,"25,605","6,634","3,229","1,973","1,027","1,502",215,293,"1,669","1,585",,"1,089","2,678","2,432","1,279"
2021,7,70,"10,878","2,877","1,301",808,441,809,108,149,701,649,,414,"1,027",994,600
2021,7,80,"3,402",863,439,318,164,251,59,73,219,181,,124,298,245,168
2021,7,90,275,80,32,25,15,28,7,6,9,17,,6,23,17,10
2021,7,100,12,5,2,1,1,2,0,0,1,0,,0,0,0,0
