년도,월,나이,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2021,2,20,"5,813",214,208,120,67,104,62,75,74,103,135,75,48,90,47,61,"1,236",179,"1,269",188,662,320,238,238
2021,2,30,"4,665",221,169,79,70,129,53,60,53,80,107,104,71,72,34,61,"1,004",117,903,124,503,323,155,173
2021,2,40,"7,742",365,250,142,117,181,104,108,125,147,213,148,97,139,48,117,"1,587",247,"1,595",202,808,515,245,242
2021,2,50,"9,892",483,471,327,214,249,152,199,199,274,334,259,159,246,137,233,"1,577",293,"1,690",262,831,494,421,388
2021,2,60,"8,509",498,428,311,210,316,197,183,221,276,339,324,176,236,162,235,961,221,"1,218",279,582,418,354,364
2021,2,70,"5,769",392,271,199,193,213,167,137,178,198,258,278,149,174,92,180,512,136,730,212,337,305,205,253
2021,2,80,"2,723",171,127,126,104,115,76,58,102,110,158,125,81,104,51,93,178,68,275,105,133,115,98,150
2021,2,90,257,22,8,8,8,8,7,10,14,10,27,11,13,5,4,9,15,3,23,13,7,10,12,10
2021,2,100,22,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,6,1,5,2,1,1,1,1
2021,3,총,"53,490","2,664","2,152","1,431","1,057","1,398",883,904,"1,037","1,297","1,691","1,390",843,"1,191",623,"1,055","8,837","1,470","9,875","1,599","5,106","2,985","1,986","2,016"
2021,3,0,"3,194",120,77,27,39,34,30,18,21,49,42,29,23,38,15,25,716,67,804,84,521,248,95,72
2021,3,10,"5,068",218,148,85,41,52,36,57,57,50,84,39,32,91,29,46,"1,068",144,"1,376",132,746,251,164,122
2021,3,20,"5,802",209,208,116,66,104,65,76,74,100,132,72,46,88,47,59,"1,235",182,"1,270",195,657,321,238,242
2021,3,30,"4,639",213,168,82,69,128,49,59,54,82,105,105,71,74,33,60,"1,005",114,900,122,495,320,154,177
2021,3,40,"7,689",350,254,144,115,180,103,107,119,146,213,148,97,140,48,119,"1,578",245,"1,581",200,814,503,247,238
2021,3,50,"9,818",479,469,326,213,250,150,195,200,271,329,258,158,244,138,232,"1,572",293,"1,678",257,814,497,410,385
2021,3,60,"8,555",503,427,316,209,316,197,188,220,281,340,320,178,234,165,232,969,219,"1,231",286,582,416,358,368
2021,3,70,"5,753",385,268,198,192,213,168,137,175,197,259,283,145,172,92,178,508,133,733,210,340,308,210,249
2021,3,80,"2,713",166,125,129,105,113,78,57,103,111,158,124,81,104,52,95,175,69,277,102,131,110,98,150
2021,3,90,249,21,8,8,8,7,7,10,14,10,27,12,12,6,4,9,11,3,23,11,6,10,10,12
2021,3,100,10,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,2,1
2021,4,총,"53,439","2,665","2,161","1,430","1,063","1,392",881,910,"1,029","1,299","1,693","1,394",845,"1,192",626,"1,054","8,810","1,469","9,847","1,602","5,090","3,004","1,977","2,006"
